"nama","kode_rs","tempat_tidur","telepon","lat","lon","alamat","tipe","wilayah","propinsi"
"RS REKSA WALUYA","3576040",62,"(0321) 322170",-7.477859,112.431874,"JL. MOJOPAHIT 422, KEL. MIJI, KEC. PRAJURIT KULON, KOTA MOJOKERTO","RS","KOTA MOJOKERTO, JAWA TIMUR","JAWA TIMUR"
"RS UMUM BHAKTI ASIH","3329078",171,"(0283) 673481",-6.865323,109.017372,"JL. PANGERAN DIPONEGORO NO.125, BREBES, PESANTUNAN, KEC. WANASARI, KABUPATEN BREBES, JAWA TENGAH 52221","RS","BREBES, JAWA TENGAH","JAWA TENGAH"
"RS BHAYANGKARA TK. IV BIDDOKKES POLDA BANTEN","3604053",101,"0813-8574-1314",-6.133265,106.161904,"JL. RAYA SERANG - PANDEGLANG, CIPARE, KEC. SERANG","RS","KOTA SERANG, BANTEN","BANTEN"
"RS UMUM PUTRI BIDADARI","1213059",243,"0822-7692-0000",3.775709,98.434878,"JALAN STABAT TANJUNG PURA RT.02 / RW.07, JENTERA STABAT, WAMPU, JENTERA STABAT, WAMPU","RS","LANGKAT, SUMATERA UTARA","SUMATERA UTARA"
"RS PETROKIMIA GRESIK","3525076",87,"(031) 3976688",-7.159109,112.643468,"JL. JEND. A. YANI NO. 69 KEL. NGIPIK, KEC. NGIPIK, KAB. GRESIK","RS","GRESIK, JAWA TIMUR","JAWA TIMUR"
"RS UMUM  AULIA BLITAR","3505024",74,"(0342) 444168",-8.16045,112.217575,"JL. RAYA UTARA LODOYO NO.3, LODOYO, KALIPANG, KEC. SUTOJAYAN","RS","BLITAR, JAWA TIMUR","JAWA TIMUR"
"RS UMUM SIAGA MEDIKA PURBALINGGA","3303101",77,"0281658040",-7.384036,109.345274,"JL. LETNAN SUDANI KARANGSENTUL KECAMATAN PADAMARA KABUPATEN PURBALINGGA","RS","PURBALINGGA, JAWA TENGAH","JAWA TENGAH"
"RS UMUM KAMBANG","1571162",59,"(0741) 61714",-1.616783,103.589622,"JALAN KOLONEL AMIR HAMZAH NO. 53, SEI KAMBANG, TELANAIPURA, SELAMAT","RS","KOTA JAMBI, JAMBI","JAMBI"
"RS ISLAM FATIMAH","3510054",94,"(0333) 421451",-8.247491,114.348791,"JL. JEMBER NOMOR 25, KELURAHAN KALIREJO, KAB. BANYUWANGI","RS","BANYUWANGI, JAWA TIMUR","JAWA TIMUR"
"RS ISLAM SAKINAH","3516062",185,"(0321) 326991",-7.503812,112.421488,"JL. RA BASUNI NO.12, KEC. SOOKO, KAB. MOJOKERTO","RS","MOJOKERTO, JAWA TIMUR","JAWA TIMUR"
"RS UMUM MITRA MEDIKA AMPLAS","1275923",186,"(061) 7879070",3.538028,98.711911,"JL. SISINGAMANGARAJA, HARJOSARI I, KEC. MEDAN AMPLAS","RS","KOTA MEDAN, SUMATERA UTARA","SUMATERA UTARA"
"RS BETHESDA LEMPUYANGWANGI","3471336",34,"(0274) 512257",-7.796554,110.373087,"JL HAYAM WURUK NO.6 YOGYAKARTA","RS","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS MEDIKA MULIA TUBAN","3523041",144,"(0356) 322744",-6.90547,112.057758,"JL. MAJAPAHIT 699 TUBAN","RS","TUBAN, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH GENTENG","3510043",144,"(0333) 845839",-8.365586,114.163862,"JL. HASANUDIN NO.98, GENTENG, BANYUWANGI","RS","BANYUWANGI, JAWA TIMUR","JAWA TIMUR"
"RS UMUM BHAYANGKARA KEDIRI","3571031",332,"(0354) 671100",-7.81334,112.018011,"JL. KOMBES POL DURYAT 17 KEDIRI","RS","KOTA KEDIRI, JAWA TIMUR","JAWA TIMUR"
"RS UMUM DAERAH WALUYO JATI KRAKSAAN","3513013",230,"(0335) 841160",-7.761685,113.437599,"JL. DR. SOETOMO NO. 1 KEC. KRAKSAAN KAB. PROBOLINGGO","RS","PROBOLINGGO, JAWA TIMUR","JAWA TIMUR"
"RS ISLAM MALANG","3573226",113,"(0341) 551356",-7.940282,112.60881,"JL. MT. HARYONO NO. 139 MALANG","RS","KOTA MALANG, JAWA TIMUR","JAWA TIMUR"
"RS UMUM  PUSDIK POLRI PORONG","3515030",107,"(0343) 856444",-7.543321,112.698532,"JL. RAYA PORONG NO. 1 SIDOARJO","RS","SIDOARJO, JAWA TIMUR","JAWA TIMUR"
"RS TK. IV 12.07.02 SINTANG","6107022",35,"0565-21307",0.057864,111.478066,"JL. MT HARYONO KM.3 RT 16 RW 5 KELURAHAN KAPUAS KANAN HULU KEC. SINTANG KAB. SINTANG","","SINTANG, KALIMANTAN BARAT","KALIMANTAN BARAT"
"RS UMUM DR. SISMADI","3201235",41,"(021) 82484065",-6.396649,106.970445,"JALAN RAYA NAROGONG KM. 20, RAWAHINGKIK, LIMUSNUNGGAL, CILEUNGSI, KEC. CILEUNGSI, BOGOR, JAWA BARAT 16820","","BOGOR, JAWA BARAT","JAWA BARAT"
"RS JIWA BANDAR LAMPUNG","1871176",122,"(0721) 271170",-5.376159,105.194994,"JL. RAYA KURUNGAN NYAWA NO.99, KURUNGANNYAWA, KEC. GEDONG TATAAN, KABUPATEN PESAWARAN, LAMPUNG 35153","","PESAWARAN, LAMPUNG","LAMPUNG"
"RS IBU DAN ANAK AMANAH","3302121",20,"(0282) 497548",-7.611146,109.356445,"JL. RAYA KEBOKURO, NO. 37, SUMPIUH, JL. RAYA SUMPIUH, PESANTREN, KEBOKURA, KEC. SUMPIUH, KABUPATEN BANYUMAS, JAWA TENGAH 53195","","BANYUMAS, JAWA TENGAH","JAWA TENGAH"
"RS UMUM IBNU SALEH","1275887",20,"(061) 7342241",4.023273,98.552006,"JL. HM. JONI NO.63A-65, EAST TELADAN, MEDAN KOTA, MEDAN CITY, NORTH SUMATRA 20216","","KOTA MEDAN, SUMATERA UTARA","SUMATERA UTARA"
"RS IBU DAN ANAK BUNDA NONI","1671339",28,"(0711) 441952",-2.992924,104.726654,"JL. SRIJAYA NEGARA NO.1 RT.72 RW.11 KEL. BUKIT LAMA","","KOTA PALEMBANG, SUMATERA SELATAN","SUMATERA SELATAN"
"RS UMUM BUNDA PENGHARAPAN","9201034",64,"(0971) 325906",-8.488868,140.404473,"JL. ANGKASA NO.KELURAHAN, KLP. LIMA, KEC. MERAUKE, KABUPATEN MERAUKE, PAPUA 99616","","MERAUKE, PAPUA","PAPUA"
"RS UMUM KHARISMA PARAMEDIKA","3401048",43,"(0274) 774633",-7.864723,110.154742,"JL. KHUDORI NO.34, DIPAN, WATES, KABUPATEN KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA 55651","","KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS IBU DAN ANAK GIA LESTARI","7371397",0,"(0411) 444597",-5.16425,119.452046,"JL. TODDOPULI RAYA NO.43-45, BORONG, KEC. MANGGALA, KOTA MAKASSAR, SULAWESI SELATAN 90222","","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM SYIFA MEDINA","3278018",36,"(0265) 334544",-7.3229599745089,108.2145199081,"JL. BANTAR NO. 15A CIHIDEUNG KOTA TASIKMALAYA","","TASIKMALAYA, JAWA BARAT","JAWA BARAT"
"RS UMUM DAERAH AKHMAD BERAHIM","6503002",13,"5532025001",3.606169,116.912964,"JL. PERINTIS KM. 1 RT. IV TIDENG PALE KEC. SESAYAP 77152 KALTARA","","TANA TIDUNG, KALIMANTAN UTARA","KALIMANTAN UTARA"
"RS UMUM PKU MUHAMMADIYAH WATES","3401049",0,"(0274) 773430",-7.849934,110.137818,"JL. KH AHMAD DAHLAN NO.11, DIPAN, WATES, KABUPATEN KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA 55651","","KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM RACHMA HUSADA","3402064",62,"(0274) 646 0091 / (0274) 281 0157",-7.931792,110.345969,"JL PARANTRITIS KM.16 GERSELO PATALAN JETIS BANTUL","","BANTUL, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS DOKTER PALEMMAI TANDI","7373008",62,"",-2.996294,120.194259,"JL. SAMIUN NO. 2 KOTA PALOPO","","KOTA PALOPO, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM NATAMA","1274061",28,"(0621) 326334",3.3289972159926,99.166487445254,"JL KARTINI NO 30A TEBING TINGGI","","KOTA TEBING TINGGI, SUMATERA UTARA","SUMATERA UTARA"
"RS UMUM RATU MAS","1276076",46,"(061) 8829404",3.632428,98.510368,"JL. TENGKU AMIR HAMZAH NO.281, JATI MAKMUR, KEC. BINJAI UTARA, KOTA BINJAI, SUMATERA UTARA 20351","","KOTA BINJAI, SUMATERA UTARA","SUMATERA UTARA"
"RS UMUM DAERAH PONGTIKU","7326002",43,"",-2.942722,119.921635,"TALLUNGLIPU, KABUPATEN TORAJA UTARA, SULAWESI SELATAN 91853","","TORAJA UTARA, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM DAERAH BOBONG","8208001",0,"0813-3165-9610",-1.9684505618933,124.42208438125,"JL. LINTAS SELATAN, DESA RATAHAYA, KECAMATA TALIABU BARAT","","PULAU TALIABU, MALUKU UTARA","MALUKU UTARA"
"RS UMUM ASYIFA HUSADA PAMEKASAN","3528025",40,"(0324) 334100",-7.1550988196059,113.48139421671,"JL. MANDILARAS NO. 88-90, PAMEKASAN","","PAMEKASAN, JAWA TIMUR","JAWA TIMUR"
"RS UMUM MADINA","1375051",44,"(0752) 21388",-0.278662,100.375765,"JL. GURU HAMZAH NO.17, TAROK DIPO, KEC. GUGUK PANJANG, KOTA BUKITTINGGI, SUMATERA BARAT 26117","","KOTA BUKITTINGGI, SUMATERA BARAT","SUMATERA BARAT"
"RS HIKMAH","7371336",59,"(0411) 835201",-5.146281,119.412312,"JL. YOSEF LATUMAHINA NO. 1","","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS UMUM BAITUL HIKMAH","3324038",47,"(0294) 3690666",-6.952961,110.102444,"JL. SOEKARNO HATTA KM 12 KENDAL","","KENDAL, JAWA TENGAH","JAWA TENGAH"
"RS KHUSUS BEDAH KURNIA MEDICAL CENTER","1810007",48,"0812-7195-9054",-5.355793,104.975348,"JL. JENDERAL SUDIRMAN NO. 428  PRINGSEWU","","PRINGSEWU, LAMPUNG","LAMPUNG"
"RS IBU DAN ANAK AINUN","6301014",22,"",-3.80783,114.760009,"JL. MATAH NO. 39 RT. 6 RW. 2","","TANAH LAUT, KALIMANTAN SELATAN","KALIMANTAN SELATAN"
"RS PRATAMA SERAWAI","6107026",46,"",-0.325915,112.52539,"JL. H. BAIJOERI DESA MEKAR SARI KECAMATAN SERAWAI KABUPATEN SINTANG","","SINTANG, KALIMANTAN BARAT","KALIMANTAN BARAT"
"RS UMUM ERNI MEDIKA","1571165",29,"0823-8075-8262",-1.638035,103.652866,"JL. BERLIN RT 12 NO.21 KEL. TALANG BAKUNG","","MUARO JAMBI, JAMBI","JAMBI"
"RS UMUM AVICENNA","1223004",52,"(0624) 7672018",2.505599,99.632433,"JL LINTAS SUMATERA, SIMPANG SIRANGGONG, DAMULI PEKAN","","BATU BARA, SUMATERA UTARA","SUMATERA UTARA"
"RS KHUSUS MATA REGINA EYE CENTER","1371459",24,"(0751) 810456",-0.94768826092529,100.3650335828,"JL. H. AGUS SALIM NO. 11A PADANG","","PADANG PARIAMAN, SUMATERA BARAT","SUMATERA BARAT"
"RS UMUM DAERAH  AEK KANOPAN","1223002",45,"(0624) 92525",2.567565,99.653744,"JL JENDRAL SUDIRMAN. NO. 25 AEK KANOPAN KEC. KUALUH HULU KAB. LABUHANBATU UTARA","","BATU BARA, SUMATERA UTARA","SUMATERA UTARA"
"RS TNI AU LANUD SAM RATULANGI","7171097",34,"",1.535695,124.921999,"PANIKI BAWAH, KEC. MAPANGET, KOTA MANADO, SULAWESI UTARA","","KOTA MANADO, SULAWESI UTARA","SULAWESI UTARA"
"RS GIGI DAN MULUT MARANATHA","3204124",7,"(022) 2005934",-6.886821,107.580984,"JL. PROF. DRG. SURIA SUMANTRI, MPH. NO.65 BANDUNG","","BANDUNG, JAWA BARAT","JAWA BARAT"
"RS IBU DAN ANAK MUTIARA PUTRI","1871440",29,"(0721) 254999",-5.422671,105.262479,"JALAN HOS COKROAMINOTO NO.96, TANJUNG KARANG, ENGGAL, ENGAL, KOTA BANDAR LAMPUNG, LAMPUNG 35213","","KOTA BANDAR LAMPUNG, LAMPUNG","LAMPUNG"
"RS UMUM  AGUNG","1409012",10,"(0765) 7040095",1.671906,101.447379,"JL SUDIRMAN, KM 08, BAGAN BATU, BINTAN, DUMAI KOTA, KOTA DUMAI, RIAU 28826","","ROKAN HILIR, RIAU","RIAU"
"RS IBU DAN ANAK AZ-ZAHRA PALEMBANG","1671340",20,"(0711) 822723",-2.942247,104.784199,"JL.BRIGJEND HASAN KASIM NO. 1-2 KEL. BUKIT SANGKAL KEC. KALIDONI PALEMBANG","","KOTA PALEMBANG, SUMATERA SELATAN","SUMATERA SELATAN"
"RS KHUSUS GIGI DAN MULUT KOTA BANDUNG","3273540",4,"(022) 4234058",-6.906081,107.614154,"JL. L. L. R.E. MARTADINATA NO.45, CITARUM, KEC. BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115","","KOTA BANDUNG, JAWA BARAT","JAWA BARAT"
"RS UMUM FAJAR","1275900",0,"(061) 7853738",3.548535,98.669592,"JL. CEMPAKA NO.35, SARI REJO, KEC. MEDAN POLONIA, KOTA MEDAN, SUMATERA UTARA 20158","","KOTA MEDAN, SUMATERA UTARA","SUMATERA UTARA"
"RS KHUSUS BEDAH RING ROAD SELATAN","3402076",22,"(0274) 376115",-7.834071,110.360399,"GLUGO PANGGUNGHARJO SEWON BANTUL YOGYAKARTA","","BANTUL, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS BERSALIN ASIH","1872065",26,"(0725) 49200",-5.11823,105.313547,"JL AHMAD YANI NO 52","","KOTA METRO, LAMPUNG","LAMPUNG"
"RS IBU DAN ANAK IBUNDA","6301016",24,"0853 4948 370",-3.813828,114.785158,"JL. A.SYAIRANI RT 04 RW 2 KELURAHAN SARANG HALANG KECAMATAN PELAIHARI KABUPATEN TANAH LAUT","","TANAH LAUT, KALIMANTAN SELATAN","KALIMANTAN SELATAN"
"RS IBU DAN ANAK MAWAR","1804013",33,"0823-8065-1111",-5.14197,105.702417,"JALAN LINTAS TIMUR PLANGKAWATI 1, DESA LABUHAN RATU VII KEC. LABUHAN RATU KAB. LAMPUNG TIMUR","","LAMPUNG TIMUR, LAMPUNG","LAMPUNG"
"RS PRATAMA DR. ABDUL CHALIK MASULILI","7202016",25,"",-0.784971,122.635197,"JL. TRANS SULAWESI, TONGKONUNUK, PAGIMANA, KABUPATEN BANGGAI, SULAWESI TENGAH 94752","","BANGGAI, SULAWESI TENGAH","SULAWESI TENGAH"
"RS ISLAM IBNU SINA SIGLI","1109031",60,"0852-7711-2772",5.3695656264788,95.956559171346,"JL LINGKAR KEUNIRE NO 21-24, GAMPONG COT","","PIDIE, ACEH","ACEH"
"RS UMUM ISLAMI MUTIARA BUNDA","3329103",91,"(0283) 877222",-6.8738408371848,108.87647165861,"JL. RAYA PANTURA CENDERAWASIH KECAMATAN TANJUNG KABUPATEN BREBES","","BREBES, JAWA TENGAH","JAWA TENGAH"
"RS UMUM MUFID","1109028",72,"(0653) 7820059",5.37565,95.9588,"JL.PROF.A.MAJID IBRAHIMNO.62-66 BLOK SAWAH","","PIDIE, ACEH","ACEH"
"RS UMUM PERMATA HUSADA","3402075",14,"(0274) 441313",-7.865532,110.409291,"JL PLERET-KOTAGEDE KM. 4  KAUMAN PLERET BANTUL YOGYAKARTA 55791","","BANTUL, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS KHUSUS BEDAH MITRA ARIVA","3302225",25,"(0281) 571328",-7.40827,109.083361,"JL. RAYA AJIBARANG NO.TIMUR, MUNGGANGSARI KIDUL, LESMANA, KEC. AJIBARANG, KABUPATEN BANYUMAS, JAWA TENGAH 53163","","BANYUMAS, JAWA TENGAH","JAWA TENGAH"
"RS UMUM PRATAMA TAMBU","7205024",35,"08114509411",-0.039441,119.879927,"JL.MAPANE TAMBU. KEC. BASELANG","","DONGGALA, SULAWESI TENGAH","SULAWESI TENGAH"
"RS UMUM WISMA RINI PRINGSEWU","1871002",90,"(0729) 21096",-5.3551636975057,104.97178939718,"JL. WISMA RINI NO.1 PRINGSEWU","","PRINGSEWU, LAMPUNG","LAMPUNG"
"RS UMUM INANTA","1277026",66,"(0634) 21451",1.38123,99.275202,"JL. SISINGAMANGARAJA NO.85-87, SITAMIANG, PADANGSIDIMPUAN SEL., KOTA PADANG SIDEMPUAN, SUMATERA UTARA 22711","","KOTA PADANG SIDIMPUAN, SUMATERA UTARA","SUMATERA UTARA"
"RS UMUM DAERAH MITRA SEHAT","7109002",20,"085299387669",1.026034,124.760055,"JL. RAYA RATAHAN - LIWUTUNG, DESA TOWUNTU TIMUR, KECAMATAN PASAN KABUPATEN MINAHASA TENGGARA","","MINAHASA TENGGARA, SULAWESI UTARA","SULAWESI UTARA"
"RS IBU DAN ANAK RESTU IBU","1371465",23,"(0751) 810756",-0.94986200507199,100.36701077361,"JALAN TERANDAM NOMOR 5-7 PADANG","","PADANG PARIAMAN, SUMATERA BARAT","SUMATERA BARAT"
"RS ISLAM SITTI MARYAM","7171094",68,"(0431) - 851577",1.520706,124.851409,"JL. POGIDON NO.110, MAHAWU, KEC. TUMINTING, KOTA MANADO, SULAWESI UTARA","","KOTA MANADO, SULAWESI UTARA","SULAWESI UTARA"
"RS UMUM DAERAH DR. EKO MAULANA ALI","1901044",49,"0811-7177-152",-1.717973,105.848835,"JL. RAYA BELINYU DUSUN SIMPANG CANGKUM DESA RIDING PANJANG KECAMATAN BELINYU","","BANGKA, KEPULAUAN BANGKA BELITUNG","KEPULAUAN BANGKA BELITUNG"
"RS UMUM GLADISH MEDICAL CENTER","1809003",53,"",-5.365969,105.151214,"JLN.AHMAD YANI NO.36 TAMAN SARI KEC.GEDONG TATAAN","","PESAWARAN, LAMPUNG","LAMPUNG"
"RS IBU DAN ANAK FAUZIAH TULUNGAGUNG","3504057",41,"(0355) 322135",-8.069878,111.895016,"JL. DR. SUTOMO NO.47, TERTEK, KEC. TULUNGAGUNG, KABUPATEN TULUNGAGUNG, JAWA TIMUR 66216","","TULUNGAGUNG, JAWA TIMUR","JAWA TIMUR"
"RS IBU DAN ANAK BANTUAN 05.08.05 SURABAYA","3578773",33,"(031) 5310069",-7.265131,112.751313,"GUBENG POJOK NO.21 SURABAYA","","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS IBU DAN ANAK KASIH IBU SULUT","7171098",0,"(0431) 834780",1.461682,124.822754,"KOMPLEKS BAHU MALL, JL. WOLTER MONGINSIDI NO.1, KEC. MALALAYANG, KOTA MANADO, SULAWESI UTARA","","KOTA MANADO, SULAWESI UTARA","SULAWESI UTARA"
"RS UMUM SURYA HUSADHA NUSA DUA","5103036",62,"(0361) 775827",-8.804254,115.217371,"JL. SILIGITA BLOK I NO 14, NUSA DUA, KUTA SELATAN","","BADUNG, BALI","BALI"
"RS KHUSUS BEDAH SINDUADI","3404185",17,"(0274) 624088",-7.753572,110.363649,"JL. WIJAYA KUSUMA NO.110, KUTU TEGAL, SINDUADI, KEC. MLATI, KABUPATEN SLEMAN, DAERAH ISTIMEWA YOGYAKARTA 55284","","SLEMAN, DAERAH ISTIMEWA YOGYAKARTA","DAERAH ISTIMEWA YOGYAKARTA"
"RS BANTUAN 05.08.03 SIDOARJO","3515135",51,"(031) 8964610",-7.444686,112.716609,"JL DR SOETOMO NO 2 SIDOARJO","","SIDOARJO, JAWA TIMUR","JAWA TIMUR"
"RS ISLAM AROFAH","3516033",60,"(0321) 596900",-7.405167,112.547694,"JL. GAJAH MADA NO.1, RANDU BANGO, RANDUBANGO, KEC. MOJOSARI, MOJOKERTO, JAWA TIMUR 61382","","MOJOKERTO, JAWA TIMUR","JAWA TIMUR"
"RS UMUM  REGITA MEDIKA","1409016",21,"0853-6469-7777",1.623975,101.037796,"JL LINTAS SUMATERA RT.019/RW.007 KEPENGHULUAN UJUNG TANJUNG KECAMATAN TANAH PUTIH KABUPATEN ROKAN HI","","ROKAN HILIR, RIAU","RIAU"
"RS KHUSUS MATA PROVINSI SUMATERA UTARA","1275922",25,"(061) 80031789",3.6224503602031,98.660185625223,"JALAN KAPTEN SUMARSONO NO 01 KELURAHAN HELVETIA TIMUR KECAMATAN MEDAN HELVETIA","","KOTA MEDAN, SUMATERA UTARA","SUMATERA UTARA"
"RS WIYUNG SEJAHTERA","3578766",84,"(031) 7532653",-7.310802,112.688102,"JL. RAYA MENGANTI KARANGAN NO.490, BABATAN, KEC. WIYUNG, KOTA SBY, JAWA TIMUR 60227","","KOTA SURABAYA, JAWA TIMUR","JAWA TIMUR"
"RS IBU DAN ANAK MINA HUSADA","1211127",34,"0823-6610-2810",3.0965448728999,98.490423252252,"JL. KAPTEN PALA BANGUN NO. 8 PADANG MAS - SENTRUM KABANJAHE 22115","","KARO, SUMATERA UTARA","SUMATERA UTARA"
"RS FITRI CANDRA","3312307",56,"(0273) 5328899",-7.793047,110.907618,"JL. BRIGJEND KATAMSO, PANCURAN, KALIANCAR, KEC. SELOGIRI, KABUPATEN WONOGIRI, JAWA TENGAH 57652","","WONOGIRI, JAWA TENGAH","JAWA TENGAH"
"RS UMUM SEJAHTERA BHAKTI","3373091",25,"(0298) 316153",-7.345953,110.502955,"JL. DAMAR JL. MAGERSARI NO.136, TEGALREJO, KEC. ARGOMULYO, KOTA SALATIGA, JAWA TENGAH 50733","","KOTA SALATIGA, JAWA TENGAH","JAWA TENGAH"
"RUMAH SAKIT KELAS D PRATAMA PASAMAN","1309024",55,"",0.466975,100.039209,"JL. LINTAS SUMATERA KM. 8 JGR. SELAMAT UTARA, NAGARI SITOMBO, PDG. GELUGUR","","PASAMAN, SUMATERA BARAT","SUMATERA BARAT"
"RS IBU DAN ANAK BUNDA ASY SYIFA","1871446",28,"(0721) 259259",-5.429845,105.271009,"JL. DR.SUSILO NO.54 PAHOMAN BANDAR LAMPUNG","","KOTA BANDAR LAMPUNG, LAMPUNG","LAMPUNG"
"RS IBU DAN ANAK TRESNA","5271102",24,"(0370) 637965",-8.591883,116.113764,"JL. BUNG KARNO NO. 28 MATARAM","","KOTA MATARAM, NUSA TENGGARA BARAT","NUSA TENGGARA BARAT"
"RSU DAERAH GEMA SANTI NUSA PENIDA","5105016",43,"(0366) 5551048",-8.676705,115.494924,"BANJAR NYUH, DESA PED, KECAMATAN NUSA PENIDA","","KLUNGKUNG, BALI","BALI"
"RS IBU DAN ANAK ANANDA TRIFA","7372077",20,"0853-9903-8722",-4.015656,119.624357,"JL. H. AGUSSALIM NO. 218 PAREPARE","","KOTA PARE PARE, SULAWESI SELATAN","SULAWESI SELATAN"
"RS HARAPAN SEHAT PEMALANG","3327048",98,"",-6.887338,109.380455,"JL. RE MARTADINATA","","PEMALANG, JAWA TENGAH","JAWA TENGAH"
"RS IBU DAN ANAK ANANDA PASAR ACE","3374369",23,"(024) 76672123",-7.0687745,110.3141361,"JL.PENDOWO NO 77 BANDUNGSARI TAMBANGAN MIJEN SEMARANG","","SEMARANG, JAWA TENGAH","JAWA TENGAH"
"RS UMUM ENGGAL WARAS","3315058",32,"(0292) 659294 EXT. 4280194",-7.0405333875819,110.77225833145,"JL.KARANGRAYUNG KM. 3 DS. KEMLOKO KEC. GODONG GROBOGAN","","GROBOGAN, JAWA TENGAH","JAWA TENGAH"
"RS UMUM MELOY SANGATTA","6404043",86,"(0549) 24222",0.505101,117.534837,"JL. YOS SUDARSO 2 NO.101, SANGATTA UTARA, KABUPATEN KUTAI TIMUR, KALIMANTAN TIMUR 75683","","KUTAI TIMUR, KALIMANTAN TIMUR","KALIMANTAN TIMUR"
"RS PERMATA BUNDA","7171072",77,"(0431) 842055",1.482163,124.856698,"JL. PINGKAN MATINDAS, DENDENGAN DALAM, PAAL DUA, KOTA MANADO, SULAWESI UTARA","","KOTA MANADO, SULAWESI UTARA","SULAWESI UTARA"
"RSU CAHAYA MEDIKA MAKASSAR","7371425",43,"0411586584",-5.141721,119.477357,"JL. PERINTIS KEMERDEKAAN KM.8 NO.26/27","","KOTA MAKASSAR, SULAWESI SELATAN","SULAWESI SELATAN"
"RS KHUSUS MATA JAKARTA EYE CENTER KEDOYA","3174515",17,"0804 122 1000",-6.189606,106.761445,"JALAN TERUSAN JL. ARJUNA UTARA NO.1, RT.7/RW.3, KEDOYA SEL., KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11520","","JAKARTA BARAT, DKI JAKARTA","DKI JAKARTA"
"RS UMUM PATRIA IKKT","3174416",68,"(021) 5308981",-6.197067,106.792681,"JL. CENDRAWASIH NO.1 KOMPLEK KEMHAN MABES TNI SLIPI","","JAKARTA BARAT, DKI JAKARTA","DKI JAKARTA"
"RS UMUM MEDIKA PERMATA HIJAU","3174420",64,"(021) 5347411",-6.21811,106.778166,"JL. KEBAYORAN LAMA  NO.64 JAKARTA BARAT","","JAKARTA BARAT, DKI JAKARTA","DKI JAKARTA"
"RS UMUM LIRBOYO","3571146",47,"(0354) 778165",-7.816602,111.989524,"JL. DR.SAHARJO, CAMPUREJO, MOJOROTO, KOTA KEDIRI","","KEDIRI, JAWA TIMUR","JAWA TIMUR"
"RS UMUM CERIA","6306023",48,"(0517) 23865",-2.8072700444556,115.25852305432,"JL. JEND. SUDIRMAN NO. 10 HAMALAU KANDANGAN","","HULU SUNGAI SELATAN, KALIMANTAN SELATAN","KALIMANTAN SELATAN"
"RS IBU ANAK  BUDHI MULIA","1471395",27,"0851-0006-9900",0.4762536,101.4194374,"JL SOEKARNO HATTA NO 228 PEKANBARU","","KOTA PEKANBARU, RIAU","RIAU"
"RS UMUM PURWA HUSADA","3306106",23,"(0275) 321998",-7.727797,109.969194,"BENGKEK, CANDISARI, BANYUURIP, PURWOREJO REGENCY, CENTRAL JAVA 54171","","PURWOREJO, JAWA TENGAH","JAWA TENGAH"
"RS UMUM KASIH IBU TABANAN","5102046",63,"(0361) 3005757",-8.546521,115.119799,"JALAN FLAMBOYAN NO. 9, KAMPUNG KODOK, DAUH PEKEN, TABANAN, TABANAN REGENCY, BALI 82111","","TABANAN, BALI","BALI"
"RS UMUM ISLAM PURWODADI","3315059",57,"(0292) 422199",-7.098119,110.915922,"JL. DR. SUTOMO NO.9, CEBOK, KALONGAN, KEC. PURWODADI, KABUPATEN GROBOGAN, JAWA TENGAH 58114","","GROBOGAN, JAWA TENGAH","JAWA TENGAH"
"RS UMUM DAERAH DAHA SEJAHTERA","6306024",42,"0812-5671-0001",-2.635745,115.118639,"JL PIHANIN RAYA, DESA PIHANIN KECAMATAN DAHA SELATAN KABUPATEN HULU SUNGAI SELATAN","","HULU SUNGAI SELATAN, KALIMANTAN SELATAN","KALIMANTAN SELATAN"
"RSIA PONDOK TJANDRA","3515137",22,"(031) 8664488",-7.345255,112.779232,"PERUMAHAN PONDOK TJANDRA, JL. MANGGA I NO.E-225, TAMBAKSUMUR, KEC. WARU, KABUPATEN SIDOARJO, JAWA TIMUR 61256","","SIDOARJO, JAWA TIMUR","JAWA TIMUR"
